Ruta;Nombre;Shader;Categoria;Uso;Especial;Avisos;Texturas
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/prototype_textures/blue_floor_Tiled 1.mat;blue_floor_Tiled 1;Standard;Built-in de Unity (Standard);En escena;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=VACIO; _BumpMap=OK; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Plugins/Invector-3rdPersonController_LITE/Resources/Materials/basicLogo.mat;basicLogo;Standard;Built-in de Unity (Standard);Sin uso detectado;render queue 3000, keyword de alpha activo, Mode = Fade/Transparent;Shader built-in de Unity — revisar si necesita migrarse | Especial (transparente/agua) — dejar para el final (render queue 3000, keyword de alpha activo, Mode = Fade/Transparent);"_MainTex=OK; _MetallicGlossMap=VACIO; _BumpMap=VACIO; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Plugins/Invector-3rdPersonController_LITE/Resources/Materials/comparacao.mat;comparacao;Standard;Built-in de Unity (Standard);En escena;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=VACIO; _BumpMap=VACIO; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/VFX/Hovl Studio/Procedural fire/Demo scene/Floor3.mat;Floor3;Standard;Built-in de Unity (Standard);En escena;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=OK; _BumpMap=OK; _ParallaxMap=OK; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/VFX/Magic VFX/Magic VFX - Ice (FREE)/Models/Materials/PlaneMaterial 1.mat;PlaneMaterial 1;Standard;Built-in de Unity (Standard);En escena;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=VACIO; _MetallicGlossMap=VACIO; _BumpMap=VACIO; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/VFX/Matthew Guz/Spell Area of Effect FREE/Materials/Floor/Floor.mat;Floor;Standard;Built-in de Unity (Standard);En escena;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=VACIO; _BumpMap=VACIO; _ParallaxMap=OK; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/VFX/Niebla/Height Fog/SharedStuff/Meshes/Materials/01 - Default.mat;01 - Default;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=VACIO; _MetallicGlossMap=VACIO; _BumpMap=VACIO; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/VFX/Niebla/Height Fog/SharedStuff/Meshes/Materials/04 - Default.mat;04 - Default;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=VACIO; _MetallicGlossMap=VACIO; _BumpMap=VACIO; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/VFX/Niebla/Height Fog/SharedStuff/Meshes/Materials/09 - Default.mat;09 - Default;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=VACIO; _MetallicGlossMap=VACIO; _BumpMap=VACIO; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/VFX/Niebla/Height Fog/SharedStuff/Meshes/Materials/Candle_.mat;Candle_;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=VACIO; _MetallicGlossMap=VACIO; _BumpMap=VACIO; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
