Ruta;ShaderAnterior;Albedo;Normal;Emission;Advertencias
Assets/Art/Characters/Fuego Fatuo/WillOWisp_Green.fbx;Universal Render Pipeline/Lit;;;_EmissionColor;Sin Albedo de origen — revisar a mano
Assets/Art/Characters/RPG Tiny Hero Duo/Animation/BowAndArrow/InPlace/MoveFWD_Normal_InPlace_BowAndArrow.fbx;Universal Render Pipeline/Lit;;;;Sin Albedo de origen — revisar a mano
Assets/Art/Characters/RPG Tiny Hero Duo/Mesh/OHS06PBR.fbx;Universal Render Pipeline/Lit;;;;Sin Albedo de origen — revisar a mano
Assets/Art/Characters/RPG Tiny Hero Duo/Mesh/Shield05PBR.fbx;Universal Render Pipeline/Lit;;;;Sin Albedo de origen — revisar a mano
Assets/Art/Characters/RPG Tiny Hero Duo/Mesh/Shield08PBR.fbx;Universal Render Pipeline/Lit;;;;Sin Albedo de origen — revisar a mano
Assets/Art/Cinematics/Mat_CrystalBallVision.mat;Universal Render Pipeline/Lit;;;_EmissionMap;Sin Albedo de origen — revisar a mano
Assets/Art/Items/BTM_Items_Gems/Models/4SideDiamond.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/5SideDiamond.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/Battery.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/BluePill.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/BluePotion.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/BlueVial.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/Bomb.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/Clock.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/Coin.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/Cubie.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/CubieB.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/Cuboid.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/Diamondo.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/DoubleDiamond.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/FirstAid.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/GoldBar.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/GoldPile.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/GreenPill.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/GreenPotion.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/GreenVial.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/Heart.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/HeartGem.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/Hexagon.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/Lock.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/Magnet.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/Money.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/Penta.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/RedPill.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/RedPotion.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
